norad_id,name,mean_motion_nominal,eccentricity,inclination_deg,bstar,mean_motion_dot,altitude_km_approx,period_minutes
965,OPS 6582 (TRANSIT 5B-5),13.57012227,0.00396664,90.0765,8.1821082e-05,6.7e-07,1053.7,106.12
1002,LES-1,9.88354979,0.00156093,32.1457,-0.0012486036,-1e-08,2800.9,145.7
1291,SOLRAD 7B,13.94974909,0.00191327,70.0794,3.2486228e-05,-8e-08,918.4,103.23
1315,SECOR 4 (EGRS 4),12.92667572,0.00300552,90.2498,0.00027210966,8.1e-07,1298.1,111.4
1430,TIROS 10,14.41628644,0.00564684,98.5031,5.531473e-05,1.39e-06,760.3,99.89
1804,ALOUETTE 2,12.28337899,0.13296843,79.8015,0.0001390683,4.18e-06,1563.6,117.23
2389,OV3-3,13.45165047,0.10126861,81.3252,0.00067986909,0.00015189,1097.2,107.05
2411,SECOR 7 (EGRS 7),8.59615314,0.0011654,90.3353,-0.0094660848,-1.7e-07,3695.2,167.52
2412,ERS 15,8.59079282,0.00073123,90.3351,0.0,2e-08,3699.4,167.62
3669,ISIS 1,11.30433019,0.1706046,88.442,5.3146e-05,7.1e-07,2015.3,127.38
3891,SECOR 13 (EGRS 13),13.42976767,0.0038665,99.6499,2.0944948e-05,-3.1e-07,1105.3,107.22
4068,ATS 5,0.99497597,0.00052471,0.2486,0.0,-2.23e-06,36012.2,1447.27
4237,OPS 7613 (P/L 4),13.95995424,0.00188462,70.0138,5.2651376e-05,1.9e-07,914.8,103.15
4256,OPS 7613 (P/L 1),13.99195995,0.00171908,70.0102,8.6511467e-05,7.2e-07,903.7,102.92
5485,SHINSEI (MS-F2),12.74251956,0.06396246,32.053,6.7665088e-05,5.1e-07,1371.8,113.01
5580,PROSPERO (BLACK ARROW),14.01593999,0.05001575,82.0386,0.00023025629,1.078e-05,895.4,102.74
5680,OPS 7898 (P/L 2),13.74758322,0.00081964,69.9904,4.7230139e-05,-5e-08,989.7,104.75
6235,NOAA 2 (ITOS-D),12.53214761,0.00041643,102.0074,0.00011785724,-2.8e-07,1458.2,114.9
7530,OSCAR 7 (AO-7),12.53697951,0.0012501,101.9901,8.4573e-05,-3.3e-07,1456.2,114.86
11060,TIROS N,14.19373268,0.00091395,98.4531,6.7385698e-05,1e-06,834.6,101.45
14129,PHASE 3B (AO-10),2.0587298,0.60142661,25.9048,0.0,-1.94e-06,19730.7,699.46
14154,HILAT,14.38707193,0.00381928,82.0231,0.00010173945,3.3e-06,769.9,100.09
14781,UOSAT 2 (UO-11),14.90765931,0.00069809,97.8055,0.00012370125,1.16e-05,602.7,96.59
15427,NOAA 9,14.17066416,0.00148357,99.0989,6.4231116e-05,8.3e-07,842.4,101.62
15595,GEOSAT,14.39963246,0.00012645,108.0434,6.7766914e-05,7.8e-07,765.8,100.0
18351,EUTELSAT 1-F4 (ECS 4),0.98691179,0.0011178,13.8334,0.0,-2.17e-06,36242.7,1459.1
20439,PACSAT (AO-16),14.33934604,0.00095326,98.8524,5.2724959e-05,1e-06,785.7,100.42
20442,LUSAT (LO-19),14.34121162,0.00107749,98.8852,5.2314203e-05,1e-06,785.1,100.41
21688,IRS-1B,13.97874026,0.00249263,99.4109,0.00026874977,3.35e-06,908.3,103.01
22034,COSMOS 2197,12.64251932,0.00113885,82.5943,-3.5292737e-05,4e-08,1412.6,113.9
22491,PEGASUS R/B,14.57962119,0.00441004,24.9764,0.00014085943,8.71e-06,706.9,98.77
22825,EYESAT A (AO-27),14.30940455,0.00094356,98.6881,4.5161916e-05,7.4e-07,795.7,100.63
22826,ITAMSAT (IO-26),14.31367133,0.0010048,98.6829,4.4367828e-05,7.3e-07,794.3,100.6
23439,RADIO ROSTO (RS15),11.27583632,0.01557399,64.8187,7.2412525e-05,-4e-07,2029.5,127.71
24278,JAS-2 (FO-29),13.53273851,0.03508075,98.5246,3.8836938e-05,6e-08,1067.4,106.41
24920,FORTE,14.27942497,0.00245408,69.9542,7.0070361e-05,1.16e-06,805.8,100.84
25338,NOAA 15,14.27144513,0.00104582,98.5067,6.2925606e-05,1.11e-06,808.4,100.9
25397,TECHSAT 1B (GO-32),14.24427136,6.75e-05,99.0066,4.3187328e-05,5.3e-07,817.6,101.09
25544,ISS (ZARYA),15.49162374,0.00058814,51.6361,0.00010451669,5.345e-05,426.3,92.95
25635,ORSTED,14.51802284,0.0131082,96.4831,8.2301742e-05,3.37e-06,726.9,99.19
25682,LANDSAT 7,14.63911261,0.00018131,97.8579,7.7976563e-05,3.63e-06,687.7,98.37
25984,ORBCOMM FM36,14.3918469,0.00053555,45.037,0.0002442941,6.21e-06,768.3,100.06
25991,DMSP 5D-3 F15 (USA 147),14.17562588,0.0010404,98.9963,8.8849679e-05,1.35e-06,840.7,101.58
26063,OPAL (OO-38),14.37962127,0.00364453,100.1912,5.6335705e-05,1.12e-06,772.4,100.14
26113,IMAGE,1.68665472,0.7438912,94.221,0.015647506,3.3e-07,23440.5,853.76
26410,CLUSTER II-FM7 (SAMBA),0.44840364,0.90481912,149.9132,0.0,4.459e-05,65732.4,3211.39
26464,CLUSTER II-FM8 (TANGO),0.44412171,0.90507473,150.1501,0.0,4.392e-05,66195.1,3242.35
26546,MEGSAT-1,15.05458863,0.0042001,64.5498,0.00018785343,2.577e-05,557.2,95.65
26609,PHASE 3D (AO-40),1.25588197,0.79309292,9.4389,0.0,-4.3e-07,29917.5,1146.6
26702,ODIN,15.73638419,0.00065541,97.3853,0.0010092693,0.00143252,355.6,91.51
26857,OMNI-M1,3.92401508,0.00145,44.8338,0.0,-1.1e-07,10608.1,366.97
26931,PCSAT (NO-44),14.31953756,0.00061037,67.051,5.5711e-05,6.6e-07,792.3,100.56
26958,PROBA-1,15.074694,0.00556819,97.9603,0.00017812258,2.726e-05,551.1,95.52
27421,SPOT 5,14.54746922,0.01283288,97.9848,5.6422447e-05,2.19e-06,717.3,98.99
27431,FENGYUN 1D,14.10223724,0.00143289,98.9519,3.0815647e-05,1e-07,865.7,102.11
27607,SAUDISAT 1C (SO-50),14.83031935,0.00753998,64.5505,0.00012205633,8.88e-06,626.9,97.1
27640,CORIOLIS,14.19943013,0.00130596,98.7126,6.1618233e-05,8.7e-07,832.7,101.41
27844,CUTE-1 (CO-55),14.24331486,0.0009062,98.6735,0.00012935,2.55e-06,817.9,101.1
27848,CUBESAT XI-IV (CO-57),14.23617305,0.00086366,98.6767,0.00011308922,2.14e-06,820.3,101.15
27939,MOZHAETS 4 (RS22),14.73456279,0.00100791,98.3475,0.00016034468,9.87e-06,657.2,97.73
28051,IRS-P6 (RESOURCESAT-1),14.36160402,0.00643203,98.1911,6.3569406e-05,1.49e-06,778.3,100.27
28371,SAUDISAT 2,14.56679989,0.00238731,98.5506,6.4243332e-05,2.38e-06,711.1,98.85
28380,COSMOS 2407,13.76334267,0.00377866,82.9609,3.0670892e-05,4.5e-07,984.1,104.63
28521,COSMOS 2414,13.87926028,0.00399712,82.9504,2.9026614e-05,5e-07,943.0,103.75
28628,INMARSAT 4-F1,1.00271523,0.00026256,5.1579,0.0,4.7e-07,35793.8,1436.1
28650,HAMSAT (VO-52),15.09667831,0.00205336,97.9905,0.00026717777,4.252e-05,544.4,95.39
28654,NOAA 18,14.13728072,0.00145752,98.8112,3.9965512e-05,3.2e-07,853.8,101.86
28737,SJ-7,15.21440756,0.0016946,97.7292,0.00031936967,7.128e-05,508.6,94.65
28895,CUBESAT XI-V,14.72613094,0.00132191,98.2977,0.00020389042,1.246e-05,659.9,97.79
29107,CLOUDSAT,14.86380636,0.00052195,98.393,0.00011127776,9.21e-06,616.4,96.88
29108,CALIPSO,14.69336571,0.00010337,98.447,0.00016566384,9.26e-06,670.3,98.0
29479,HINODE (SOLAR-B),14.6861396,0.00162776,98.0549,0.00011674838,6.3e-06,672.6,98.05
29499,METOP-A,14.75951658,0.01752372,98.3324,0.00022851246,1.956e-05,649.3,97.56
29506,SHIJIAN-6 02B (SJ-6 02B),15.01361321,0.00149236,97.7165,0.00012313638,1.529e-05,569.8,95.91
29522,DMSP 5D-3 F17 (USA 191),14.14992135,0.00113063,98.7378,2.8783301e-05,1.3e-07,849.5,101.77
29709,LAPAN-TUBSAT,14.8594221,0.0011354,98.1346,-8.654317e-06,-1.33e-06,617.8,96.91
31113,HAIYANG-1B,14.31025222,0.00126273,98.3491,4.6122611e-05,8e-07,795.4,100.63
31115,BEIDOU-2 M1,1.77349255,0.00020501,50.9327,0.0,4.3e-07,22459.3,811.96
31130,CAPE-1,14.6485579,0.00848972,98.4459,0.00023127672,1.247e-05,684.7,98.3
32062,CBERS 2B,14.41472644,0.00309996,98.3922,7.7285122e-05,2.09e-06,760.8,99.9
32376,COSMO-SKYMED 2,14.82149442,0.00013995,97.8885,5.0623511e-05,3.51e-06,629.7,97.16
32783,CARTOSAT-2A,14.79228877,0.00128508,97.7638,0.00010513841,7.32e-06,638.9,97.35
32785,CUTE-1.7+APD II (CO-65),15.09391098,0.00103269,97.8272,0.00031564414,4.983e-05,545.2,95.4
32791,SEEDS II (CO-66),15.32520473,0.00020419,97.7516,0.00052178897,0.0001632,475.4,93.96
32953,YUBILEINY (RS30),12.43179004,0.00191418,82.5049,0.00026933123,4.7e-07,1500.3,115.83
