norad_cat_id,object_name,timestamp,temperature,voltage,current,rssi,uptime,reset_count,ecc_errors,cpu_load,fault_label
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:00:00+00:00,42.104,27.976,2.03,-107.26,0.0,0,0,44.42,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:01:00+00:00,39.917,27.708,2.013,-108.33,60.0,0,0,41.99,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:02:00+00:00,33.684,27.834,2.598,-102.83,120.0,0,0,48.07,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:03:00+00:00,30.834,28.254,2.299,-103.74,180.0,0,0,43.88,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:04:00+00:00,24.4,28.001,2.136,-112.02,240.0,0,0,49.74,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:05:00+00:00,33.694,28.136,2.35,-99.39,300.0,0,0,47.36,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:06:00+00:00,45.588,28.268,1.568,-105.47,0.0,1,0,92.46,SOFTWARE_BUG
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:07:00+00:00,37.551,27.85,2.187,-110.55,60.0,1,0,91.99,SOFTWARE_BUG
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:08:00+00:00,33.568,28.302,2.799,-99.06,120.0,1,0,92.26,SOFTWARE_BUG
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:09:00+00:00,37.411,28.152,2.24,-101.87,180.0,1,0,96.56,SOFTWARE_BUG
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:10:00+00:00,29.57,27.506,2.22,-111.32,240.0,1,0,35.19,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:11:00+00:00,34.858,28.577,2.364,-96.11,300.0,1,0,53.65,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:12:00+00:00,36.465,27.8,2.469,-101.71,360.0,1,0,41.73,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:13:00+00:00,36.061,27.338,1.601,-105.05,420.0,1,0,46.44,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:14:00+00:00,39.709,27.582,1.695,-97.05,480.0,1,0,40.99,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:15:00+00:00,37.667,27.592,2.263,-104.2,540.0,1,0,35.31,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:16:00+00:00,39.072,28.021,1.986,-105.14,600.0,1,0,40.09,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:17:00+00:00,33.357,27.89,2.594,-108.3,660.0,1,0,51.49,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:18:00+00:00,39.966,27.865,2.105,-102.09,720.0,1,0,44.44,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:19:00+00:00,42.875,28.248,1.62,-102.62,780.0,1,0,26.31,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:20:00+00:00,32.423,28.136,1.82,-104.93,840.0,1,0,38.28,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:21:00+00:00,32.549,28.126,1.375,-108.95,900.0,1,0,54.26,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:22:00+00:00,41.81,28.164,2.13,-104.35,960.0,1,0,38.29,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:23:00+00:00,35.655,28.246,2.143,-105.35,1020.0,1,0,25.6,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:24:00+00:00,41.907,27.157,2.073,-111.67,1080.0,1,0,55.14,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:25:00+00:00,34.416,27.854,2.524,-112.36,1140.0,1,0,45.46,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:26:00+00:00,42.166,27.128,2.56,-102.17,1200.0,1,0,39.44,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:27:00+00:00,36.981,28.014,2.149,-118.01,1260.0,1,0,37.03,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:28:00+00:00,37.612,27.998,1.56,-103.97,1320.0,1,0,48.66,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:29:00+00:00,42.967,28.418,2.385,-107.39,1380.0,1,0,35.66,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:30:00+00:00,35.904,28.475,2.367,-98.46,1440.0,1,0,49.19,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:31:00+00:00,33.464,28.081,2.293,-107.47,1500.0,1,0,44.34,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:32:00+00:00,35.281,27.8,2.494,-101.7,1560.0,1,0,41.96,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:33:00+00:00,38.64,28.194,1.851,-106.98,1620.0,1,0,41.16,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:34:00+00:00,30.753,27.789,2.803,-104.43,1680.0,1,0,38.6,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:35:00+00:00,39.905,27.999,1.912,-101.32,1740.0,1,0,48.37,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:36:00+00:00,35.165,28.394,2.425,-107.31,1800.0,1,0,33.08,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:37:00+00:00,41.66,27.777,1.694,-100.02,1860.0,1,0,27.02,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:38:00+00:00,27.244,28.322,1.921,-109.97,1920.0,1,0,44.92,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:39:00+00:00,33.87,28.271,2.655,-103.53,1980.0,1,0,45.05,NORMAL
54695,JILIN-1 GAOFEN 03D48,2026-06-01 00:40:00+00:00,30.493,27.618,2.122,-100.39,2040.0,1,0,43.84,NORMAL
